dt,Celsius,State,AverageTemperature
19010101,7.603,Alabama,45.6854
19010101,22.693,Alaska,72.8474
19010101,5.294,Arizona,41.5292
19010101,6.359,Arkansas,43.4462
19010101,5.716,California,42.2888
19010101,3.98,Colorado,39.164
19010101,2.75,Connecticut,36.95
19010101,0.649,Delaware,33.1682
19010101,0.081,District Of Columbia,32.1458
19010101,14.312,Florida,57.7616
19010101,7.977,Georgia ,46.3586
19010101,20.733,Hawaii,69.3194
19010101,5.122,Idaho,41.2196
19010101,1.574,Illinois,34.8332
19010101,1.697,Indiana,35.0546
19010101,5.076,Iowa,41.1368
19010101,0.38,Kansas,32.684
19010101,1.588,Kentucky,34.8584
19010101,10.925,Louisiana,51.665
19010101,10.487,Maine,50.8766
19010101,0.703,Maryland,33.2654
19010101,5.12,Massachusetts,41.216
19010101,6.456,Michigan,43.6208
19010101,12.417,Minnesota,54.3506
19010101,8.616,Mississippi,47.5088
19010101,1.002,Missouri,33.8036
19010101,7.318,Montana,45.1724
19010101,3.426,Nebraska,38.1668
19010101,0.88,Nevada,33.584
19010101,8.577,New Hampshire,47.4386
19010101,1.101,New Jersey,33.9818
19010101,2.152,New Mexico,35.8736
19010101,6.034,New York,42.8612
19010101,4.378,North Carolina,39.8804
19010101,12.612,North Dakota,54.7016
19010101,1.948,Ohio,35.5064
19010101,4.504,Oklahoma,40.1072
19010101,0.644,Oregon,33.1592
19010101,2.837,Pennsylvania,37.1066
19010101,2.764,Rhode Island,36.9752
19010101,7.104,South Carolina,44.7872
19010101,6.122,South Dakota,43.0196
19010101,3.387,Tennessee,38.0966
19010101,9.297,Texas,48.7346
19010101,2.847,Utah,37.1246
19010101,8.914,Vermont,48.0452
19010101,1.855,Virginia,35.339
19010101,1.987,Washington,35.5766
19010101,0.312,West Virginia,32.5616
19010101,8.972,Wisconsin,48.1496
19010101,5.267,Wyoming,41.4806
19010102,6.04,Alabama,42.872
19010102,19.518,Alaska,67.1324
19010102,7.249,Arizona,45.0482
19010102,3.946,Arkansas,39.1028
19010102,7.717,California,45.8906
19010102,4.29,Colorado,39.722
19010102,5.547,Connecticut,41.9846
19010102,2.554,Delaware,36.5972
19010102,2.806,District Of Columbia,37.0508
19010102,13.398,Florida,56.1164
19010102,6.829,Georgia ,44.2922
19010102,19.472,Hawaii,67.0496
19010102,4.655,Idaho,40.379
19010102,5.511,Illinois,41.9198
19010102,5.558,Indiana,42.0044
19010102,8.295,Iowa,46.931
19010102,2.554,Kansas,36.5972
19010102,0.974,Kentucky,33.7532
19010102,9.315,Louisiana,48.767
19010102,10.621,Maine,51.1178
19010102,2.245,Maryland,36.041
19010102,7.43,Massachusetts,45.374
19010102,10.133,Michigan,50.2394
19010102,13.533,Minnesota,56.3594
19010102,6.977,Mississippi,44.5586
19010102,2.384,Missouri,36.2912
19010102,8.092,Montana,46.5656
19010102,6.506,Nebraska,43.7108
19010102,0.669,Nevada,33.2042
19010102,10.39,New Hampshire,50.702
19010102,4.213,New Jersey,39.5834
19010102,2.752,New Mexico,36.9536
19010102,9.322,New York,48.7796
19010102,2.804,North Carolina,37.0472
19010102,13.221,North Dakota,55.7978
19010102,6.205,Ohio,43.169
19010102,2.623,Oklahoma,36.7214
19010102,0.771,Oregon,33.3878
19010102,6.762,Pennsylvania,44.1716
19010102,5.493,Rhode Island,41.8874
19010102,6.042,South Carolina,42.8756
19010102,8.965,South Dakota,48.137
19010102,1.523,Tennessee,34.7414
19010102,7.598,Texas,45.6764
19010102,0.871,Utah,33.5678
19010102,10.953,Vermont,51.7154
19010102,0.424,Virginia,32.7632
19010102,0.265,Washington,32.477
19010102,3.622,West Virginia,38.5196
19010102,11.88,Wisconsin,53.384
19010102,7.631,Wyoming,45.7358
19010103,11.596,Alabama,52.8728
19010103,14.469,Alaska,58.0442
19010103,9.807,Arizona,49.6526
19010103,9.906,Arkansas,49.8308
19010103,10.413,California,50.7434
19010103,0.022,Colorado,32.0396
19010103,1.303,Connecticut,34.3454
19010103,5.397,Delaware,41.7146
19010103,5.92,District Of Columbia,42.656
19010103,16.66,Florida,61.988
19010103,12.01,Georgia ,53.618
19010103,21.054,Hawaii,69.8972
19010103,0.056,Idaho,32.1008
19010103,3.795,Illinois,38.831
19010103,4.005,Indiana,39.209
19010103,0.946,Iowa,33.7028
19010103,5.043,Kansas,41.0774
19010103,7.209,Kentucky,44.9762
19010103,14.083,Louisiana,57.3494
19010103,4.146,Maine,39.4628
19010103,6.173,Maryland,43.1114
19010103,0.012,Massachusetts,32.0216
19010103,2.707,Michigan,36.8726
19010103,3.963,Minnesota,39.1334
19010103,12.387,Mississippi,54.2966
19010103,5.777,Missouri,42.3986
19010103,0.095,Montana,32.171
19010103,1.63,Nebraska,34.934
19010103,4.237,Nevada,39.6266
19010103,2.594,New Hampshire,36.6692
19010103,3.618,New Jersey,38.5124
19010103,6.083,New Mexico,42.9494
19010103,1.368,New York,34.4624
19010103,9.719,North Carolina,49.4942
19010103,3.306,North Dakota,37.9508
19010103,3.793,Ohio,38.8274
19010103,9.348,Oklahoma,48.8264
19010103,3.925,Oregon,39.065
19010103,2.078,Pennsylvania,35.7404
19010103,1.318,Rhode Island,34.3724
19010103,11.706,South Carolina,53.0708
19010103,0.004,South Dakota,32.0072
19010103,8.544,Tennessee,47.3792
